frame_id,timestamp_seg,fps,tiempo_inferencia_ms,cantidad_personas,confianza_promedio_frame,conteo_entrada,conteo_salida,alerta
480,43.686,17.6781,30.4859,2,0.7113,1,1,ALERTA: deteccion confiable (0.79)
481,43.747,22.816,29.7809,2,0.724,1,1,ALERTA: deteccion confiable (0.79)
482,43.813,20.8303,29.4249,2,0.7088,1,1,ALERTA: deteccion confiable (0.79)
483,43.878,20.389,29.1181,2,0.729,1,1,ALERTA: deteccion confiable (0.79)
484,43.95,18.0187,28.3341,2,0.7064,1,1,ALERTA: deteccion confiable (0.79)
485,44.011,22.5577,28.8498,2,0.6977,1,1,ALERTA: deteccion confiable (0.79)
486,44.086,17.1644,29.9671,2,0.6664,1,1,ALERTA: deteccion confiable (0.79)
487,44.147,22.9595,29.5179,2,0.6947,1,1,ALERTA: deteccion confiable (0.79)
488,44.215,19.1758,30.5901,2,0.7078,1,1,ALERTA: deteccion confiable (0.79)
489,44.282,19.8363,30.4098,2,0.6921,1,1,ALERTA: deteccion confiable (0.79)
490,44.35,19.6048,31.8158,2,0.6925,1,1,ALERTA: deteccion confiable (0.79)
491,44.414,21.0336,31.0981,2,0.6906,1,1,ALERTA: deteccion confiable (0.79)
492,44.487,17.8988,32.7699,1,0.8882,1,1,ALERTA: deteccion confiable (0.79)
493,44.549,22.4709,32.2561,1,0.9015,1,1,ALERTA: deteccion confiable (0.79)
494,44.617,20.4041,32.8257,1,0.9393,1,1,ALERTA: deteccion confiable (0.79)
495,44.684,20.2598,32.882,1,0.945,1,1,ALERTA: deteccion confiable (0.79)
496,44.745,23.0456,30.8187,2,0.8366,1,1,ALERTA: deteccion confiable (0.79)
497,44.818,18.0018,32.3598,2,0.8636,1,1,ALERTA: deteccion confiable (0.79)
498,44.883,20.8639,32.0382,2,0.8869,1,1,ALERTA: deteccion confiable (0.79)
499,44.947,22.0542,30.447,2,0.8915,1,1,ALERTA: deteccion confiable (0.79)
500,45.015,19.4902,31.023,2,0.901,1,1,ALERTA: deteccion confiable (0.79)
501,45.081,20.7105,30.839,2,0.9159,1,1,ALERTA: deteccion confiable (0.79)
502,45.15,19.6094,31.0662,2,0.9157,1,1,ALERTA: deteccion confiable (0.92)
503,45.219,19.569,30.9839,2,0.9128,1,1,ALERTA: deteccion confiable (0.92)
504,45.281,22.5528,31.41,2,0.9286,1,1,ALERTA: deteccion confiable (0.92)
505,45.351,19.1074,31.044,2,0.9274,1,1,ALERTA: deteccion confiable (0.92)
506,45.418,20.1649,31.2109,2,0.926,1,1,ALERTA: deteccion confiable (0.92)
507,45.484,20.6445,31.872,2,0.9284,1,1,ALERTA: deteccion confiable (0.92)
508,45.547,21.5535,30.9069,2,0.9221,1,1,ALERTA: deteccion confiable (0.92)
509,45.612,20.7499,28.995,2,0.9183,1,1,ALERTA: deteccion confiable (0.92)
510,45.683,18.6435,31.3072,2,0.8939,1,1,ALERTA: deteccion confiable (0.92)
511,45.747,21.3606,30.0269,2,0.8945,1,1,ALERTA: deteccion confiable (0.92)
512,45.815,19.5278,30.3259,2,0.858,1,1,ALERTA: deteccion confiable (0.92)
513,45.882,20.2273,31.1122,3,0.7809,1,1,ALERTA: deteccion confiable (0.92)
514,45.945,21.9145,29.8648,3,0.8505,1,1,ALERTA: deteccion confiable (0.92)
515,46.017,18.344,30.736,3,0.8832,1,1,ALERTA: deteccion confiable (0.92)
516,46.083,20.24,31.6741,3,0.8995,1,1,ALERTA: deteccion confiable (0.92)
517,46.146,22.1171,29.3701,3,0.8954,1,1,ALERTA: deteccion confiable (0.92)
